Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	9	1	dev=net(1)	InInterests	1.6	0.0992188	2	0.124023
1	9	1	dev=net(1)	OutInterests	0	0	0	0
1	9	1	dev=net(1)	DropInterests	0	0	0	0
1	9	1	dev=net(1)	InNacks	0	0	0	0
1	9	1	dev=net(1)	OutNacks	0	0	0	0
1	9	1	dev=net(1)	DropNacks	0	0	0	0
1	9	1	dev=net(1)	InData	0	0	0	0
1	9	1	dev=net(1)	OutData	1.6	1.70859	2	2.13574
1	9	1	dev=net(1)	DropData	0	0	0	0
1	9	1	dev=net(1)	InSatisfiedInterests	1.6	0	2	0
1	9	1	dev=net(1)	InTimedOutInterests	0	0	0	0
1	9	1	dev=net(1)	OutSatisfiedInterests	0	0	0	0
1	9	1	dev=net(1)	OutTimedOutInterests	0	0	0	0
1	9	2	dev=net(2)	InInterests	0	0	0	0
1	9	2	dev=net(2)	OutInterests	1.6	0.0992188	2	0.124023
1	9	2	dev=net(2)	DropInterests	0	0	0	0
1	9	2	dev=net(2)	InNacks	0	0	0	0
1	9	2	dev=net(2)	OutNacks	0	0	0	0
1	9	2	dev=net(2)	DropNacks	0	0	0	0
1	9	2	dev=net(2)	InData	1.6	1.70859	2	2.13574
1	9	2	dev=net(2)	OutData	0	0	0	0
1	9	2	dev=net(2)	DropData	0	0	0	0
1	9	2	dev=net(2)	InSatisfiedInterests	0	0	0	0
1	9	2	dev=net(2)	InTimedOutInterests	0	0	0	0
1	9	2	dev=net(2)	OutSatisfiedInterests	1.6	0	2	0
1	9	2	dev=net(2)	OutTimedOutInterests	0	0	0	0
1	9	-1	all	SatisfiedInterests	1.6	0	2	0
1	9	-1	all	TimedOutInterests	0	0	0	0
1	10	1	dev=net(1)	InInterests	0	0	0	0
1	10	1	dev=net(1)	OutInterests	1.6	0.0992188	2	0.124023
1	10	1	dev=net(1)	DropInterests	0	0	0	0
1	10	1	dev=net(1)	InNacks	0	0	0	0
1	10	1	dev=net(1)	OutNacks	0	0	0	0
1	10	1	dev=net(1)	DropNacks	0	0	0	0
1	10	1	dev=net(1)	InData	1.6	1.70859	2	2.13574
1	10	1	dev=net(1)	OutData	0	0	0	0
1	10	1	dev=net(1)	DropData	0	0	0	0
1	10	1	dev=net(1)	InSatisfiedInterests	0	0	0	0
1	10	1	dev=net(1)	InTimedOutInterests	0	0	0	0
1	10	1	dev=net(1)	OutSatisfiedInterests	1.6	0	2	0
1	10	1	dev=net(1)	OutTimedOutInterests	0	0	0	0
1	10	3	dev=net(3)	InInterests	1.6	0.0992188	2	0.124023
